IATA Code,Latitude,Longitude
IAH,29.984435,-95.341442
MIA,25.795361,-80.290115
BQN,18.494861,-67.129443
ATL,33.6367,-84.427863
ORD,41.97694,-87.908149
FLL,26.071667,-80.149693
IAD,38.947456,-77.459928
MCO,28.429389,-81.308999
PBI,26.683162,-80.095591
TPA,27.975472,-82.533249
LAX,33.942496,-118.408048
SFO,37.618806,-122.375416
DFW,32.897233,-97.037694
BOS,42.362944,-71.006388
LAS,36.080044,-115.152234
MSP,44.881972,-93.221777
DTW,42.212431,-83.353392
RSW,26.536164,-81.755154
SJU,18.439399,-66.002132
PHX,33.434278,-112.011582
BWI,39.175728,-76.66899
CLT,35.21375,-80.949055
BUF,42.940427,-78.730569
DEN,39.861667,-104.673166
SNA,33.675662,-117.868232
MSY,29.993272,-90.259027
SLC,40.788393,-111.977772
XNA,36.281579,-94.307765
MKE,42.946932,-87.897063
SEA,47.449889,-122.311777
ROC,43.119144,-77.671868
SYR,43.111181,-76.106319
SRQ,27.395444,-82.554388
RDU,35.877639,-78.787471
CMH,39.996947,-82.892158
JAX,30.494046,-81.687846
CHS,32.898639,-80.040527
MEM,35.042411,-89.976678
PIT,40.491417,-80.232693
SAN,32.733563,-117.189662
DCA,38.85144,-77.03772
CLE,41.409407,-81.85469
STL,38.748698,-90.370025
MYR,33.679741,-78.92832
JAC,43.607333,-110.737749
MDW,41.785972,-87.752416
HNL,21.317825,-157.920249
BNA,36.124475,-86.67818
AUS,30.194527,-97.669875
BTV,44.471955,-73.153275
PHL,39.872084,-75.240662
STT,18.337306,-64.973332
EGE,39.64275,-106.915943
AVL,35.436113,-82.542046
PWM,43.645643,-70.308615
IND,39.717306,-86.294638
SAV,32.127583,-81.202138
CAK,40.915056,-81.443638
HOU,29.6458,-95.277231
LGB,33.81793,-118.15189
DAY,39.902252,-84.219411
ALB,42.749116,-73.801979
BDL,41.939032,-72.684315
MHT,42.932806,-71.435749
MSN,43.139879,-89.337503
GSO,36.101327,-79.941122
CVG,39.048837,-84.66782
BUR,34.200694,-118.358666
RIC,37.505181,-77.319738
GSP,34.895671,-82.218858
GRR,42.880833,-85.522805
MCI,39.297611,-94.713888
ORF,36.894604,-76.201228
SAT,29.533958,-98.469056
SDF,38.174085,-85.736493
PDX,45.588709,-122.596868
SJC,37.362995,-121.92862
OMA,41.303167,-95.894055
CRW,38.376013,-81.592893
OAK,37.721261,-122.22115
SMF,38.695444,-121.590777
TUL,36.198393,-95.888104
TYS,35.811091,-83.994066
OKC,35.393074,-97.600761
PVD,41.722333,-71.427721
DSM,41.533973,-93.663071
PSE,18.008781,-66.56452
BHM,33.563889,-86.752305
CAE,33.938838,-81.119535
HDN,40.481194,-107.217666
BZN,45.777236,-111.150259
MTJ,38.509806,-107.894249
EYW,24.55612,-81.759955
PSP,33.82967,-116.506693
ACK,41.253299,-70.06051
BGR,44.807444,-68.828138
ABQ,35.038932,-106.608261
ILM,34.271139,-77.902888
MVY,41.393418,-70.613873
SBN,41.708224,-86.317336
LEX,38.036742,-84.608616
CHO,38.139643,-78.452343
TVC,44.741579,-85.581869
ANC,61.174085,-149.998137
LGA,40.777242,-73.872605
EWR,40.69248,-74.168686
JFK,40.639928,-73.778691
